Guardium Version,OS/Platform,OS/Platform version,Database/DBaaS,Database/DBaaS version,Network traffic,Local traffic,Encrypted traffic,Shared Memory,Kerberos,Blocking,Redaction,UID Chain,Compression,Query Rewrite,Instance Discovery,Protocol
11,Red Hat,Red Hat 7.6,SAP HANA,SAP HANA 2.0 SPS 03,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 7.5,SAP HANA,SAP HANA 2.0 SPS 03,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 7.4,SAP HANA,SAP HANA 2.0 SPS 03,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 7.3,SAP HANA,SAP HANA 2.0 SPS 03,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 7.2,SAP HANA,SAP HANA 2.0 SPS 03,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 7.1,SAP HANA,SAP HANA 2.0 SPS 03,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 7,SAP HANA,SAP HANA 2.0 SPS 03,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 7.6,SAP HANA,SAP HANA 2,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 7.5,SAP HANA,SAP HANA 2,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 7.4,SAP HANA,SAP HANA 2,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 7.3,SAP HANA,SAP HANA 2,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 7.2,SAP HANA,SAP HANA 2,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 7.1,SAP HANA,SAP HANA 2,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 7,SAP HANA,SAP HANA 2,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 7.6,SAP HANA,SAP HANA 1,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 7.5,SAP HANA,SAP HANA 1,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 7.4,SAP HANA,SAP HANA 1,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 7.3,SAP HANA,SAP HANA 1,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 7.2,SAP HANA,SAP HANA 1,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 7.1,SAP HANA,SAP HANA 1,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 7,SAP HANA,SAP HANA 1,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 6,SAP HANA,SAP HANA 2.0 SPS 03,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 6,SAP HANA,SAP HANA 2,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 6,SAP HANA,SAP HANA 1,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 5,SAP HANA,SAP HANA 2.0 SPS 03,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 5,SAP HANA,SAP HANA 2,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 5,SAP HANA,SAP HANA 1,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 4,SAP HANA,SAP HANA 2.0 SPS 03,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 4,SAP HANA,SAP HANA 2,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 4,SAP HANA,SAP HANA 1,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,,,,N/A
11,Red Hat,Red Hat 7.6,MySQL,MySQL 8.0,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.5,MySQL,MySQL 8.0,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.4,MySQL,MySQL 8.0,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.3,MySQL,MySQL 8.0,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.2,MySQL,MySQL 8.0,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.1,MySQL,MySQL 8.0,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7,MySQL,MySQL 8.0,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.6,MySQL,MySQL 5.7,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.5,MySQL,MySQL 5.7,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.4,MySQL,MySQL 5.7,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.3,MySQL,MySQL 5.7,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.2,MySQL,MySQL 5.7,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.1,MySQL,MySQL 5.7,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7,MySQL,MySQL 5.7,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 6,MySQL,MySQL 8.0,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 6,MySQL,MySQL 5.7,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 5,MySQL,MySQL 8.0,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 5,MySQL,MySQL 5.7,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 4,MySQL,MySQL 8.0,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 4,MySQL,MySQL 5.7,K-TAP,K-TAP,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.6,Netezza,Netezza 7.2,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.5,Netezza,Netezza 7.2,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.4,Netezza,Netezza 7.2,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.3,Netezza,Netezza 7.2,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.2,Netezza,Netezza 7.2,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.1,Netezza,Netezza 7.2,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7,Netezza,Netezza 7.2,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.6,Netezza,Netezza 7.1,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.5,Netezza,Netezza 7.1,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.4,Netezza,Netezza 7.1,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.3,Netezza,Netezza 7.1,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.2,Netezza,Netezza 7.1,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.1,Netezza,Netezza 7.1,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7,Netezza,Netezza 7.1,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.6,Netezza,Netezza 7,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.5,Netezza,Netezza 7,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.4,Netezza,Netezza 7,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.3,Netezza,Netezza 7,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.2,Netezza,Netezza 7,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.1,Netezza,Netezza 7,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7,Netezza,Netezza 7,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.6,Netezza,Netezza 6.02,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.5,Netezza,Netezza 6.02,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.4,Netezza,Netezza 6.02,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.3,Netezza,Netezza 6.02,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.2,Netezza,Netezza 6.02,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.1,Netezza,Netezza 6.02,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7,Netezza,Netezza 6.02,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 6,Netezza,Netezza 7.2,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 6,Netezza,Netezza 7.1,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 6,Netezza,Netezza 7,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 6,Netezza,Netezza 6.02,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 5,Netezza,Netezza 7.2,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 5,Netezza,Netezza 7.1,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 5,Netezza,Netezza 7,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 5,Netezza,Netezza 6.02,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 4,Netezza,Netezza 7.2,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 4,Netezza,Netezza 7.1,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 4,Netezza,Netezza 7,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 4,Netezza,Netezza 6.02,K-TAP,,,,,K-TAP,K-TAP,K-TAP,K-TAP,,Yes,N/A
11,Red Hat,Red Hat 7.6,Oracle Exadata,Oracle Exadata 11gR2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.5,Oracle Exadata,Oracle Exadata 11gR2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.4,Oracle Exadata,Oracle Exadata 11gR2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.3,Oracle Exadata,Oracle Exadata 11gR2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.2,Oracle Exadata,Oracle Exadata 11gR2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.1,Oracle Exadata,Oracle Exadata 11gR2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7,Oracle Exadata,Oracle Exadata 11gR2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 6,Oracle Exadata,Oracle Exadata 11gR2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 5,Oracle Exadata,Oracle Exadata 11gR2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 4,Oracle Exadata,Oracle Exadata 11gR2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Suse,Suse 12 - sixtyfour-bit,Oracle Exadata,Oracle Exadata 11gR2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Suse,Suse 11 - thirtytwo-bit, sixtyfour-bit,Oracle Exadata,Oracle Exadata 11gR2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,AIX,AIX 7.2,Oracle Exadata,Oracle Exadata 11gR2,K-TAP,K-TAP,A-TAP (ASO, SSL),,,K-TAP, A-TAP,K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.6,Oracle Exadata,Oracle Exadata 12.1,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.5,Oracle Exadata,Oracle Exadata 12.1,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.4,Oracle Exadata,Oracle Exadata 12.1,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.3,Oracle Exadata,Oracle Exadata 12.1,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.2,Oracle Exadata,Oracle Exadata 12.1,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.1,Oracle Exadata,Oracle Exadata 12.1,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7,Oracle Exadata,Oracle Exadata 12.1,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 6,Oracle Exadata,Oracle Exadata 12.1,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
