GDP_Type,Guardium_Version,DataSource,DataSource_Version,Method,VA_supported,Classification_supported,Notes,Download_URL,Readme_URL
GI,GI 3.2.0,Couchbase,6.6.2-9600,Universal connector,yes,yes,Classification via ISDC,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/CouchbasedbOverFilebeatPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-couchbasedb-guardium/README.md
GI,GI 3.2.0,CouchDB,3.2.2,Universal connector,,,,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/CouchdbOverFilebeatPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-couchdb-guardium/README.md
GI,GI 3.2.0,Greenplum,6.21.0+,Universal connector,,,,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/GreenplumdbOverFilebeatPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-onPremGreenplumdb-guardium/README.md
GI,GI 3.2.0,HDFS,3.1+,Universal connector,,,,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/HdfsOverFilebeatPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-hdfs-guardium/README.md
GI,GI 3.2.0,MariaDB,10.6+,Universal connector,yes,yes,Classification via ISDC,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/MariaDBOverFilebeatPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mariadb-guardium/README.md
GI,GI 3.2.0,MongoDB,4.2,Universal connector,yes,yes,Classification via GDP and ISDC,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/MongodbOverFilebeatPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mongodb-guardium/README.md
GI,GI 3.2.0,MongoDB,4.4,Universal connector,yes,yes,Classification via GDP and ISDC,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/MongodbOverFilebeatPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mongodb-guardium/README.md
GI,GI 3.2.0,MySQL,5.0+,Universal connector,,yes,Classification via GDP,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/MysqlOverFilebeatPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mysql-guardium/README.md
GI,GI 3.2.0,MySQL Percona,5.7.31-34,Universal connector,yes,,,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/MysqlPerconaOverFilebeatPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mysql-percona-guardium/README.md
GI,GI 3.2.0,SAP HANA,2.00.033.00.1535711040,Universal connector,yes,yes,Classification via GDP,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/SaphanaOverFilebeatPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-saphana-guardium/README.md
GI,GI 3.3.0,Couchbase,6.6.2-9600,Universal connector,yes,yes,Classification via ISDC,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/CouchbasedbOverFilebeatPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-couchbasedb-guardium/README.md
GI,GI 3.3.0,CouchDB,3.2.2,Universal connector,,,,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/CouchdbOverFilebeatPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-couchdb-guardium/README.md
GI,GI 3.3.0,Greenplum,6.21.0+,Universal connector,,,,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/GreenplumdbOverFilebeatPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-onPremGreenplumdb-guardium/README.md
GI,GI 3.3.0,HDFS,3.1+,Universal connector,,,,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/HdfsOverFilebeatPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-hdfs-guardium/README.md
GI,GI 3.3.0,MariaDB,10.6+,Universal connector,yes,yes,Classification via ISDC,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/MariaDBOverFilebeatPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mariadb-guardium/README.md
GI,GI 3.3.0,MongoDB,4.2,Universal connector,yes,yes,Classification via GDP and ISDC,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/MongodbOverFilebeatPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mongodb-guardium/README.md
GI,GI 3.3.0,MongoDB,4.4,Universal connector,yes,yes,Classification via GDP and ISDC,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/MongodbOverFilebeatPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mongodb-guardium/README.md
GI,GI 3.3.0,MySQL,5.0+,Universal connector,,yes,Classification via GDP,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/MysqlOverFilebeatPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mysql-guardium/README.md
GI,GI 3.3.0,MySQL Percona,5.7.31-34,Universal connector,yes,,,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/MysqlPerconaOverFilebeatPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mysql-percona-guardium/README.md
GI,GI 3.3.0,SAP HANA,2.00.033.00.1535711040,Universal connector,yes,yes,Classification via GDP,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/SaphanaOverFilebeatPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-saphana-guardium/README.md
GI,GI 3.3.0 (planned),Cassandra Apache,4.0.1,Universal connector,yes,,,https://github.com/IBM/universal-connectors/raw/main/filter-plugin/logstash-filter-cassandra-guardium/CassandraOverFilebeatPackage/Cassandra/cassandra-offline-plugins-7.5.2.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-cassandra-guardium/README.md
GI,GI 3.3.0 (planned),Azure Apache Solr,8.6.0,Universal connector,,,,https://github.com/IBM/universal-connectors/raw/main/filter-plugin/logstash-filter-azure-apachesolr-guardium/ApacheSolrOverFilebeatPackage/AzureSolr/guardium_logstash-offline-plugin-apache-solr-azure.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-azure-apachesolr-guardium/README.md
GI,GI 3.3.0 (planned),Microsoft SQL Server,14.0.x,Universal connector,yes,yes,Classification via GDP and ISDC,https://github.com/IBM/universal-connectors/raw/main/filter-plugin/logstash-filter-mssql-guardium/MssqlOverJdbcPackage/mssql-offline-plugins-7.5.2.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mssql-guardium/README.md
GI,GI 3.3.0 (planned),Neo4j,4.4.3,Universal connector,yes,,,https://github.com/IBM/universal-connectors/raw/main/filter-plugin/logstash-filter-neo4j-guardium/NeodbOverFilebeatPackage/Neo4jDB/neo4j-logstash-offline-plugins-7.16.3.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-neo4j-guardium/README.md
GI,GI 3.3.0 (planned),PostgreSQL,EDB 12,Universal connector,,yes,Classification via GDP and ISDC,https://github.com/IBM/universal-connectors/raw/main/filter-plugin/logstash-filter-onPremPostgres-guardium/PostgresOverFilebeatPackage/PostgreFB/postgres-offline-plugins-7.5.2.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-onPremPostgres-guardium/README.md
GI,GI 3.3.0 (planned),PostgreSQL,EDB 14,Universal connector,,yes,Classification via GDP and ISDC,https://github.com/IBM/universal-connectors/raw/main/filter-plugin/logstash-filter-onPremPostgres-guardium/PostgresOverFilebeatPackage/PostgreFB/postgres-offline-plugins-7.5.2.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-onPremPostgres-guardium/README.md
